match_id,player_id,Ball Receipt*,Ball Recovery,Carry,Dispossessed,Dribble,Duel,Foul Won,Pass,Pressure,Shot,Block,Dribbled Past,Foul Committed,Interception,Miscontrol,Clearance,Error,Goal Keeper,Shield,Injury Stoppage,Offside,minutes_played,duels_lost,passes_last_15_minute,position_name_Center Attacking Midfield,position_name_Center Back,position_name_Center Defensive Midfield,position_name_Center Forward,position_name_Center Midfield,position_name_Goalkeeper,position_name_Left Attacking Midfield,position_name_Left Back,position_name_Left Center Back,position_name_Left Center Forward,position_name_Left Center Midfield,position_name_Left Defensive Midfield,position_name_Left Midfield,position_name_Left Wing,position_name_Left Wing Back,position_name_Right Attacking Midfield,position_name_Right Back,position_name_Right Center Back,position_name_Right Center Forward,position_name_Right Center Midfield,position_name_Right Defensive Midfield,position_name_Right Midfield,position_name_Right Wing,position_name_Right Wing Back,position_name_Secondary Striker,position_name_nan,total_running_distance,stamina_start,stamina_end,substituted
15973,5211,60,4,51,0,0,1,1,67,9,1,2,1,1,1,1,0,0,0,0,0,0,45.073499999999996,0,18,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,96.79999999999998,75.75098039215686,76.36666666666666,False
15973,5213,53,5,49,0,1,1,0,61,1,3,1,0,0,1,0,2,0,0,0,0,0,45.34515,0,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,241.9,44.24081632653061,47.67551020408163,False
15973,5246,41,2,22,0,2,1,3,29,8,4,1,0,0,1,0,2,0,0,0,0,0,47.083099999999995,0,11,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,113.99999999999997,92.41818181818182,94.56363636363636,False
15973,5470,69,0,63,0,0,5,1,73,7,3,0,0,0,0,0,0,0,0,0,0,0,44.108050000000006,0,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,171.70000000000002,66.89999999999999,68.96825396825396,True
15973,5477,60,4,52,4,4,3,4,53,8,3,0,0,1,0,1,0,0,0,0,0,0,44.90853333333334,0,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,244.20000000000002,84.38653846153846,87.35192307692309,False
15973,5492,35,3,33,0,0,0,0,39,5,0,2,0,0,2,0,4,0,0,0,0,0,45.09555,0,7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,138.19999999999996,47.90909090909091,50.15151515151515,True
15973,5503,95,4,74,1,2,1,3,86,8,7,2,0,2,0,3,0,0,0,0,0,0,44.968066666666665,0,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,229.7,82.98513513513512,85.01621621621621,False
15973,6379,61,1,51,1,1,2,0,68,4,2,2,0,0,0,0,1,0,0,0,0,0,44.69475,0,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,136.1,76.16470588235295,77.49607843137255,False
15973,6734,32,3,32,3,0,1,1,34,4,1,1,1,1,1,0,5,0,0,0,0,0,44.229416666666665,0,9,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,119.09999999999997,53.053125,54.30625,False
15973,6788,14,0,12,0,0,1,0,15,6,0,1,1,1,0,0,8,0,0,0,0,0,43.760149999999996,0,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,38.49999999999999,29.933333333333334,32.40833333333333,False
